2/18 19:44:26.287  ---- Startup ----
2/18 19:44:36.686  ---- ClientAvailableHotfixes ----
2/18 19:44:36.686      1294, ScenarioEventEntry
2/18 19:44:36.686      1296, Criteria
2/18 19:44:36.686      1298, QuestV2
2/18 19:44:36.686      1298, QuestV2CliTask
2/18 19:44:36.686      1306, CreatureDifficulty
2/18 19:44:36.686      1307, SpellEffect
2/18 19:44:36.686      1309, QuestPOIBlob
2/18 19:44:36.686      1310, QuestPOIBlob
2/18 19:44:36.686      1311, QuestPOIPoint
2/18 19:44:36.686      1312, QuestPOIPoint
2/18 19:44:36.686      1314, SpellCategories
2/18 19:44:36.686      1316, SpellMisc
2/18 19:44:36.686      1317, SpellMisc
2/18 19:44:36.686      1318, ModifierTree
2/18 19:44:36.686      1322, UiMapAssignment
2/18 19:44:36.686      1323, UiMapAssignment
2/18 19:44:36.686      1324, UiMapAssignment
2/18 19:44:36.686      1325, UiMapAssignment
2/18 19:44:36.686      1328, UiMapAssignment
2/18 19:44:36.686      1329, UiMapAssignment
2/18 19:44:36.686      1330, UiMapAssignment
2/18 19:44:36.686      1331, UiMapAssignment
2/18 19:44:36.686      1333, QuestV2
2/18 19:44:36.686      1333, QuestV2CliTask
2/18 19:44:36.686      1334, SpellName
2/18 19:44:36.686      1334, Spell
2/18 19:44:36.686      1335, SpellEffect
2/18 19:44:36.686      1336, SpellMisc
2/18 19:44:36.686      1337, SpellTargetRestrictions
2/18 19:44:36.686      1338, SpellMisc
2/18 19:44:36.686      1352, CreatureDifficulty
2/18 19:44:36.686      1361, QuestObjective
2/18 19:44:36.686      1362, QuestPOIBlob
2/18 19:44:36.686      1363, QuestPOIBlob
2/18 19:44:36.686      1365, QuestPOIPoint
2/18 19:44:36.686      1366, QuestPOIPoint
2/18 19:44:36.686      1367, QuestPOIPoint
2/18 19:44:36.686      1368, QuestPOIPoint
2/18 19:44:36.686      1369, QuestPOIPoint
2/18 19:44:36.686      1371, QuestPOIPoint
2/18 19:44:36.686      1372, QuestPOIPoint
2/18 19:44:36.686      1373, QuestPOIPoint
2/18 19:44:36.686      1374, QuestPOIPoint
2/18 19:44:36.686      1376, QuestPOIPoint
2/18 19:44:36.686      1377, QuestPOIPoint
2/18 19:44:36.686      1378, QuestPOIPoint
2/18 19:44:36.686      1379, QuestPOIPoint
2/18 19:44:36.686      1381, AreaTriggerActionSet
2/18 19:44:36.686      1382, CreatureDifficulty
2/18 19:44:36.686      1383, SpellName
2/18 19:44:36.686      1383, Spell
2/18 19:44:36.686      1385, SpellMisc
2/18 19:44:36.686      1386, SpellMisc
2/18 19:44:36.686      1389, SpellTargetRestrictions
2/18 19:44:36.686      1390, PlayerCondition
2/18 19:44:36.686      1393, SpellName
2/18 19:44:36.686      1393, Spell
2/18 19:44:36.686      1394, SpellEffect
2/18 19:44:36.686      1395, SpellEffect
2/18 19:44:36.686      1399, SpellTargetRestrictions
2/18 19:44:36.686      1400, SpellVisual
2/18 19:44:36.686      1401, SpellVisualEvent
2/18 19:44:36.686      1402, SpellVisualEvent
2/18 19:44:36.686      1404, SpellXSpellVisual
2/18 19:44:36.686      1415, QuestPOIBlob
2/18 19:44:36.686      1416, QuestPOIBlob
2/18 19:44:36.686      1417, QuestPOIBlob
2/18 19:44:36.686      1419, QuestPOIBlob
2/18 19:44:36.686      1420, QuestPOIBlob
2/18 19:44:36.686      1421, QuestPOIPoint
2/18 19:44:36.686      1422, QuestPOIPoint
2/18 19:44:36.686      1423, QuestPOIPoint
2/18 19:44:36.686      1425, QuestPOIPoint
2/18 19:44:36.686      1433, ModifierTree
2/18 19:44:36.686      1434, ModifierTree
2/18 19:44:36.686      1435, WorldStateExpression
2/18 19:44:36.686      1436, Spell
2/18 19:44:36.686      1436, SpellName
2/18 19:44:36.686      1437, SpellInterrupts
2/18 19:44:36.686      1439, AreaTriggerActionSet
2/18 19:44:36.686      1440, AreaTriggerCreateProperties
2/18 19:44:36.686      1446, SpellMisc
2/18 19:44:36.686      1447, SpellVisual
2/18 19:44:36.686      1449, SpellXSpellVisual
2/18 19:44:36.686      1451, SpellEffect
2/18 19:44:36.686      1455, QuestPOIBlob
2/18 19:44:36.686      1456, QuestPOIPoint
2/18 19:44:36.686      1457, WorldEffect
2/18 19:44:36.686      1463, SceneScriptText
2/18 19:44:36.686      1463, SceneScript
2/18 19:44:36.686      1463, SceneScriptGlobalText
2/18 19:44:36.686      1480, SpellName
2/18 19:44:36.686      1480, Spell
2/18 19:44:36.686      1481, Spell
2/18 19:44:36.686      1481, SpellName
2/18 19:44:36.686      1482, SpellEffect
2/18 19:44:36.686      1483, SpellEffect
2/18 19:44:36.686      1484, SpellEffect
2/18 19:44:36.686      1485, SpellMisc
2/18 19:44:36.686      1488, Creature
2/18 19:44:36.686      1489, SpellVisualAnim
2/18 19:44:36.686      1490, SpellVisualKitModelAttach
2/18 19:44:36.686      1491, SpellVisualKitModelAttach
2/18 19:44:36.686      1492, SpellVisualKitModelAttach
2/18 19:44:36.686      1496, SpellEffect
2/18 19:44:36.686      1501, AnimKitSegment
2/18 19:44:36.686      1503, AnimKitSegment
2/18 19:44:36.686      1519, ModifierTree
2/18 19:44:36.686      1521, ModifierTree
2/18 19:44:36.686      1526, PlayerCondition
2/18 19:44:36.686      1527, PlayerCondition
2/18 19:44:36.686      1528, TaxiNodes
2/18 19:44:36.686      1530, TaxiNodes
2/18 19:44:36.686      1533, Mount
2/18 19:44:36.686      1535, Spell
2/18 19:44:36.686      1535, SpellName
2/18 19:44:36.686      1537, CreatureDifficulty
2/18 19:44:36.686      1538, PlayerCondition
2/18 19:44:36.686      1544, SpellEffect
2/18 19:44:36.686      1545, SpellEffect
2/18 19:44:36.686      1553, SpellLabel
2/18 19:44:36.686      1556, SpellLabel
2/18 19:44:36.686      1570, AreaGroupMember
2/18 19:44:36.686      1571, AreaTable
2/18 19:44:36.686      1575, QuestPOIBlob
2/18 19:44:36.686      1576, QuestPOIPoint
2/18 19:44:36.686      1577, QuestPOIPoint
2/18 19:44:36.686      1578, QuestPOIPoint
2/18 19:44:36.686      1580, QuestPOIPoint
2/18 19:44:36.686      1582, QuestPOIPoint
2/18 19:44:36.686      1775, SpellEffect
2/18 19:44:36.686      1776, SpellMisc
2/18 19:44:36.686      1787, SpellEffect
2/18 19:44:36.686      1790, SpellEffect
2/18 19:44:36.686      1800, SpellEffect
2/18 19:44:36.686      1814, SpellMisc
2/18 19:44:36.686      1815, SpellMisc
2/18 19:44:36.686      1816, SpellMisc
2/18 19:44:36.686      1829, Spell
2/18 19:44:36.686      1829, SpellName
2/18 19:44:36.686      1832, SpellMisc
2/18 19:44:36.686      1833, SpellVisualEvent
2/18 19:44:36.686      1834, SpellXSpellVisual
2/18 19:44:36.686      1835, Criteria
2/18 19:44:36.686      1837, CriteriaTree
2/18 19:44:36.686      1838, QuestObjective
2/18 19:44:36.686      1840, Phase
2/18 19:44:36.686      1841, Phase
2/18 19:44:36.686      1844, SpellMisc
2/18 19:44:36.686      1846, CriteriaTree
2/18 19:44:36.686      1849, ScenarioEventEntry
2/18 19:44:36.686      1852, QuestV2CliTask
2/18 19:44:36.686      1852, QuestV2
2/18 19:44:36.686      1854, QuestV2
2/18 19:44:36.686      1854, QuestV2CliTask
